A1;0
A2;0
A3;0
A4;0.6
A5;0.61
A6;0.59
A7;0.053
A8;0.097
A9;0.117
A10;0.055
A11;0.047
A12;0.049
B1;0.074
B2;0.722
B3;0.298
B4;0.055
B5;0.072
B6;0.102
B7;0.131
B8;0.119
B9;0.092
B10;0.061
B11;0.053
B12;0.054
C1;0.053
C2;0.620
C3;1.040
C4;0.093
C5;0.077
C6;0.074
C7;0.089
C8;0.159
C9;0.088
C10;0.092
C11;0.118
C12;0.053
D1;0.196
D2;0.113
D3;0.118
D4;0.081
D5;0.117
D6;0.114
D7;0.117
D8;0.109
D9;0.098
D10;0.125
D11;0.109
D12;0.052
E1;0.050
E2;0.156
E3;0.131
E4;0.104
E5;0.093
E6;0.114
E7;0.079
E8;0.075
E9;0.072
E10;0.072
E11;0.079
E12;0.060
F1;0.047
F2;0.178
F3;0.146
F4;0.107
F5;0.090
F6;0.077
F7;0.080
F8;0.073
F9;0.078
F10;0.125
F11;0.084
F12;0.047
G1;0.061
G2;0.161
G3;0.160
G4;0.165
G5;0.336
G6;0.101
G7;0.090
G8;0.080
G9;0.147
G10;0.070
G11;0.087
G12;0.050
H1;0.111
H2;0.136
H3;0.160
H4;0.093
H5;0.110
H6;0.111
H7;0.053
H8;0.056
H9;0.048
H10;0.049
H11;0.051
H12;0.054

